id,keyword,location,text,target
334,annihilated,,@TomcatArts thus explaining why you were all annihilated. But the few or in this case you the only survivor evolved and became godlike,1
365,annihilation,,@willienelson We need help! Horses will die!Please RT &amp; sign petition!Take a stand &amp; be a voice for them! #gilbert23 https://t.co/e8dl1lNCVu,1
390,annihilation,Subconscious LA,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/8jxqL8Cv8Z,1
410,apocalypse,"Austin, TX",I know it's a question of interpretation but this is a sign of the apocalypse.  I called it https://t.co/my8q1uWIjn,1
516,army,,One Direction Is my pick for http://t.co/q2eBlOKeVE Fan Army #Directioners http://t.co/eNCmhz6y34 x1392,1
519,army,,VICTORINOX SWISS ARMY DATE WOMEN'S RUBBER MOP WATCH 241487 http://t.co/yFy3nkkcoH http://t.co/KNEhVvOHVK,1
551,arson,USA,Thousands attend a rally organized by Peace Now protesting the arson attack that took the life of an http://t.co/bvCKd9pdTi,1
585,arson,,Owner of Chicago-Area Gay Bar Admits to Arson Scheme http://t.co/ZPxE3fMYNG #LGBT,1
727,attacked,"San Francisco, CA",Kelly Osbourne attacked for racist Donald Trump remark about Latinos on The View http://t.co/7nAgdSAdWP,1
775,avalanche,,driving the avalanche after having my car for a week is like driving a tank,1
779,avalanche,"Denver, CO",Chiasson Sens can't come to deal #ColoradoAvalanche #Avalanche http://t.co/2bk7laGMa9 http://t.co/bkDGCfsuiQ,1
805,battle,USA,Black Eye 9: A space battle occurred at Star M27329 involving 1 fleets totaling 1236 ships with 7 destroyed,1
894,bioterrorism,New York City,@DrRichardBesser Yes. I would think not. But since college 88-92 it's been difficult not to think of bioterrorism esp. bc 'dispersed.',1
1051,bleeding,,I waited 2.5 hours to get a cab my feet are bleeding,1
1195,blizzard,Himalayan Mountains,#Tweet4Taiji is a dolphin worship group based on superstitions! Just take a look at their tweets!,1
