id,keyword,location,text,target,text_clean,text_no_stop,text_model,keyword_decoded,char_count,word_count,url_count,mention_count,hashtag_count,number_count
881,bioterrorism,,To fight bioterrorism sir.,1,to fight bioterrorism sir,fight bioterrorism sir,to fight bioterrorism sir,bioterrorism,26,4,0,0,0,0
898,bioterrorism,,To fight bioterrorism sir.,0,to fight bioterrorism sir,fight bioterrorism sir,to fight bioterrorism sir,bioterrorism,26,4,0,0,0,0
907,bioterrorism,,To fight bioterrorism sir.,1,to fight bioterrorism sir,fight bioterrorism sir,to fight bioterrorism sir,bioterrorism,26,4,0,0,0,0
916,bioterrorism,,To fight bioterrorism sir.,0,to fight bioterrorism sir,fight bioterrorism sir,to fight bioterrorism sir,bioterrorism,26,4,0,0,0,0
1723,buildings%20burning,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,1,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,buildings burning,84,11,0,0,0,0
1752,buildings%20burning,"Epic City, BB.",I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ??????,0,i pledge allegiance to the p o p e and the burning buildings of epic city,pledge allegiance p o p e burning buildings epic city,i pledge allegiance to the p o p e and the burning buildings of epic city,buildings burning,82,14,0,0,0,0
1760,buildings%20burning,dallas,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,1,like for the music video i want some real action shit like burning buildings and police chases not some weak ben winston shit,like music video want real action shit like burning buildings police chases not weak ben winston shit,like for the music video i want some real action shit like burning buildings and police chases not some weak ben winston shit,buildings burning,125,23,0,0,0,0
1922,burning%20buildings,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,0,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,burning buildings,84,11,0,0,0,0
1950,burning%20buildings,dallas,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,0,like for the music video i want some real action shit like burning buildings and police chases not some weak ben winston shit,like music video want real action shit like burning buildings police chases not weak ben winston shit,like for the music video i want some real action shit like burning buildings and police chases not some weak ben winston shit,burning buildings,125,23,0,0,0,0
1968,burning%20buildings,"Epic City, BB.",I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ??????,1,i pledge allegiance to the p o p e and the burning buildings of epic city,pledge allegiance p o p e burning buildings epic city,i pledge allegiance to the p o p e and the burning buildings of epic city,burning buildings,82,14,0,0,0,0
4068,displaced,Pedophile hunting ground,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,potus strategicpatience strategy genocide refugees idp internally displaced people horror,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,displaced,134,15,1,0,2,0
4072,displaced,Pedophile hunting ground,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,potus strategicpatience strategy genocide refugees idp internally displaced people horror,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,displaced,134,15,1,0,2,0
4076,displaced,Pedophile hunting ground,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,0,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,potus strategicpatience strategy genocide refugees idp internally displaced people horror,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,displaced,134,15,1,0,2,0
4077,displaced,Pedophile hunting ground,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,potus strategicpatience strategy genocide refugees idp internally displaced people horror,potus strategicpatience is a strategy for genocide refugees idp internally displaced people horror etc,displaced,134,15,1,0,2,0
4656,engulfed,,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
4659,engulfed,Kuwait ,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,1,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
4669,engulfed,Bahrain,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,1,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
4672,engulfed,,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
4684,engulfed,,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
4691,engulfed,,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,came land engulfed tribal war turned land peace e madinah prophetmuhammad islam,he came to a land which was engulfed in tribal war and turned it into a land of peace i e madinah prophetmuhammad islam,engulfed,123,23,0,0,2,0
5662,floods,,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",1,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,bringing tornadoes floods bringing climate change god america plaguing farrakhan quote,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,floods,137,23,0,0,2,0
5699,floods,,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,bringing tornadoes floods bringing climate change god america plaguing farrakhan quote,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,floods,137,23,0,0,2,0
5710,floods,,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,bringing tornadoes floods bringing climate change god america plaguing farrakhan quote,who is bringing the tornadoes and floods who is bringing the climate change god is after america he is plaguing her farrakhan quote,floods,137,23,0,0,2,0
5996,hazardous,,#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,1,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,foodscare offers2go nestleindia slips loss magginoodle ban unsafe hazardous humanconsumption,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,hazardous,117,14,0,0,6,0
6012,hazardous,,Caution: breathing may be hazardous to your health.,1,caution breathing may be hazardous to your health,caution breathing hazardous health,caution breathing may be hazardous to your health,hazardous,51,8,0,0,0,0
6017,hazardous,,Caution: breathing may be hazardous to your health.,0,caution breathing may be hazardous to your health,caution breathing hazardous health,caution breathing may be hazardous to your health,hazardous,51,8,0,0,0,0
6023,hazardous,"Mysore, Karnataka",#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,1,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,foodscare offers2go nestleindia slips loss magginoodle ban unsafe hazardous humanconsumption,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,hazardous,117,14,0,0,6,0
6031,hazardous,"New Delhi, Delhi",#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,0,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,foodscare offers2go nestleindia slips loss magginoodle ban unsafe hazardous humanconsumption,foodscare offers2go nestleindia slips into loss after magginoodle ban unsafe and hazardous for humanconsumption,hazardous,117,14,0,0,6,0
6087,hellfire,,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
6088,hellfire,,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,0,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire surrounded desires careful don t let desires control afterlife,hellfire is surrounded by desires so be careful and don t let your desires control you afterlife,hellfire,100,16,0,0,1,0
6090,hellfire,Riyadh,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,prophet peace said save hellfire giving half date charity,the prophet peace be upon him said save yourself from hellfire even if it is by giving half a date in charity,hellfire,114,22,0,0,0,0
