keyword_decoded,n,disaster_rate
aftershock,34,0.0
body bags,41,0.024390243902439025
ruin,37,0.02702702702702703
blazing,34,0.029411764705882353
body bag,33,0.030303030303030304
electrocute,32,0.03125
screaming,36,0.05555555555555555
traumatised,35,0.05714285714285714
panicking,33,0.06060606060606061
blew up,33,0.06060606060606061
blight,32,0.0625
wrecked,39,0.07692307692307693
explode,38,0.07894736842105263
panic,37,0.08108108108108109
epicentre,12,0.08333333333333333
bloody,35,0.08571428571428572
collide,34,0.08823529411764706
smoke,34,0.08823529411764706
stretcher,33,0.09090909090909091
drown,32,0.09375
harm,41,0.0975609756097561
mayhem,30,0.1
blizzard,37,0.10810810810810811
crush,37,0.10810810810810811
screamed,34,0.11764705882352941
armageddon,42,0.11904761904761904
fear,40,0.125
siren,40,0.125
twister,40,0.125
crushed,31,0.12903225806451613
obliterated,31,0.12903225806451613
obliterate,31,0.12903225806451613
blaze,38,0.13157894736842105
avalanche,30,0.13333333333333333
curfew,37,0.13513513513513514
obliteration,29,0.13793103448275862
screams,35,0.14285714285714285
deluge,42,0.14285714285714285
blood,35,0.14285714285714285
bleeding,35,0.14285714285714285
demolish,34,0.14705882352941177
flattened,34,0.14705882352941177
army,34,0.14705882352941177
lava,34,0.14705882352941177
quarantine,34,0.14705882352941177
trouble,33,0.15151515151515152
meltdown,33,0.15151515151515152
body bagging,33,0.15151515151515152
blown up,33,0.15151515151515152
survive,32,0.15625
upheaval,38,0.15789473684210525
inundated,35,0.17142857142857143
riot,34,0.17647058823529413
destruction,34,0.17647058823529413
hellfire,39,0.1794871794871795
threat,11,0.18181818181818182
wreck,37,0.1891891891891892
battle,26,0.19230769230769232
catastrophe,36,0.19444444444444445
desolation,36,0.19444444444444445
sinking,41,0.1951219512195122
inundation,10,0.2
hazard,34,0.20588235294117646
loud bang,34,0.20588235294117646
burned,33,0.21212121212121213
pandemonium,37,0.21621621621621623
cliff fall,36,0.2222222222222222
danger,36,0.2222222222222222
rescue,22,0.22727272727272727
sunk,39,0.23076923076923078
dead,30,0.23333333333333334
arsonist,34,0.23529411764705882
military,34,0.23529411764705882
desolate,29,0.2413793103448276
sirens,29,0.2413793103448276
destroy,37,0.24324324324324326
death,36,0.25
demolished,28,0.25
destroyed,32,0.25
demolition,35,0.2571428571428571
deluged,27,0.25925925925925924
drowning,34,0.2647058823529412
fatality,37,0.2702702702702703
exploded,33,0.2727272727272727
injuries,33,0.2727272727272727
detonate,36,0.2777777777777778
apocalypse,32,0.28125
detonation,32,0.28125
trapped,32,0.28125
fire,38,0.2894736842105263
injury,38,0.2894736842105263
war zone,24,0.2916666666666667
burning,34,0.29411764705882354
wounds,33,0.30303030303030304
survived,33,0.30303030303030304
thunder,38,0.3157894736842105
tsunami,34,0.3235294117647059
annihilated,34,0.3235294117647059
mudslide,37,0.32432432432432434
emergency services,33,0.3333333333333333
flames,39,0.3333333333333333
annihilation,29,0.3448275862068966
trauma,31,0.3548387096774194
rubble,28,0.35714285714285715
whirlwind,39,0.358974358974359
weapon,39,0.358974358974359
ablaze,36,0.3611111111111111
crash,33,0.36363636363636365
collapsed,35,0.37142857142857144
eyewitness,32,0.375
quarantined,37,0.3783783783783784
emergency,37,0.3783783783783784
electrocuted,34,0.38235294117647056
nuclear reactor,36,0.3888888888888889
drowned,38,0.39473684210526316
windstorm,40,0.4
first responders,29,0.41379310344827586
landslide,33,0.42424242424242425
flood,35,0.42857142857142855
disaster,35,0.42857142857142855
weapons,39,0.4358974358974359
casualty,34,0.4411764705882353
bomb,34,0.4411764705882353
collapse,34,0.4411764705882353
seismic,29,0.4482758620689655
snowstorm,29,0.4482758620689655
chemical emergency,33,0.45454545454545453
tornado,35,0.45714285714285713
damage,41,0.4634146341463415
hijacking,32,0.46875
hostage,31,0.4838709677419355
hijack,33,0.48484848484848486
derail,35,0.4857142857142857
rescued,35,0.4857142857142857
bombed,38,0.5
explosion,39,0.5128205128205128
storm,35,0.5142857142857142
hail,35,0.5142857142857142
lightning,33,0.5151515151515151
hurricane,38,0.5263157894736842
ambulance,38,0.5263157894736842
engulfed,36,0.5277777777777778
rainstorm,34,0.5294117647058824
natural disaster,34,0.5294117647058824
hijacker,35,0.5428571428571428
police,37,0.5675675675675675
burning buildings,37,0.5675675675675675
collided,40,0.575
fatalities,45,0.5777777777777777
devastated,31,0.5806451612903226
mass murderer,32,0.59375
cyclone,32,0.59375
bioterror,37,0.5945945945945946
attacked,35,0.6
emergency plan,35,0.6
refugees,36,0.6111111111111112
tragedy,36,0.6111111111111112
crashed,34,0.6176470588235294
evacuate,40,0.625
hazardous,35,0.6285714285714286
rioting,35,0.6571428571428571
structural failure,35,0.6571428571428571
flooding,38,0.6578947368421053
volcano,27,0.6666666666666666
dust storm,36,0.6666666666666666
catastrophic,30,0.6666666666666666
fire truck,33,0.6666666666666666
famine,39,0.6666666666666666
deaths,38,0.6842105263157895
derailed,38,0.6842105263157895
fatal,38,0.6842105263157895
buildings burning,35,0.6857142857142857
injured,35,0.6857142857142857
accident,35,0.6857142857142857
arson,32,0.6875
sinkhole,39,0.6923076923076923
massacre,36,0.6944444444444444
attack,36,0.6944444444444444
bioterrorism,30,0.7
survivors,30,0.7
wounded,37,0.7027027027027027
terrorism,34,0.7058823529411765
bush fires,25,0.72
displaced,36,0.7222222222222222
floods,36,0.7222222222222222
hostages,37,0.7297297297297297
heat wave,34,0.7352941176470589
terrorist,31,0.7419354838709677
collision,39,0.7435897435897436
devastation,36,0.75
hailstorm,32,0.75
sandstorm,37,0.7567567567567568
earthquake,39,0.7692307692307693
evacuation,36,0.7777777777777778
violent storm,33,0.7878787878787878
thunderstorm,33,0.7878787878787878
forest fire,19,0.7894736842105263
drought,35,0.8
casualties,35,0.8
bridge collapse,35,0.8285714285714286
forest fires,32,0.84375
buildings on fire,33,0.8484848484848485
mass murder,33,0.8484848484848485
airplane accident,35,0.8571428571428571
wild fires,31,0.8709677419354839
wildfire,33,0.8787878787878788
razed,35,0.8857142857142857
evacuated,36,0.8888888888888888
nuclear disaster,34,0.9117647058823529
suicide bomb,35,0.9142857142857143
rescuers,35,0.9142857142857143
bombing,29,0.9310344827586207
suicide bomber,31,0.967741935483871
suicide bombing,33,0.9696969696969697
typhoon,38,0.9736842105263158
oil spill,38,0.9736842105263158
outbreak,40,0.975
debris,37,1.0
derailment,39,1.0
wreckage,39,1.0
