id,keyword,location,text,target
117,accident,,"mom: 'we didn't get home as fast as we wished' 
me: 'why is that?'
mom: 'there was an accident and some truck spilt mayonnaise all over ??????",0
159,aftershock,304,'The harder the conflict the more glorious the triumph.' Thomas Paine,0
242,airplane%20accident,"San Francisco, CA",Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0
542,army,,WWI WWII JAPANESE ARMY NAVY MILITARY JAPAN LEATHER WATCH WAR MIDO WW1 2 - Full read by eBay http://t.co/obfD7e4QcP http://t.co/yAZjE5OwVk,0
653,attack,Selena | Britney | Hilary,Demi stans really think Heart Attack sold 5/6 million copies ??,0
679,attack,rowyso dallas ,@CaIxxum5SOS thanks for the damn heart attack,0
836,bioterror,British girl in Texas,FedEx will no longer transport bioterror pathogens in wake of anthrax lab mishaps http://t.co/lHpgxc4b8J,0
851,bioterror,United States,RT alisonannyoung: EXCLUSIVE: FedEx no longer to transport research specimens of bioterror pathogens in wake of anthrax lab mishaps Û_,0
859,bioterror,,FedEx no longer will ship potential bioterror pathogens - Atlanta Business Chronicle http://t.co/YLLQJljiIQ,0
874,bioterror,Extraterrestrial Highway,FedEx no longer shipping bioterror germs - WXIA-TV | @scoopit http://t.co/ZQqJrQsbJm,0
1533,bomb,wny,this is about to be a bomb ass firework picture http://t.co/lr4BTvuEoM,0
1543,bomb,Canada,@CranBoonitz So going to make any bomb threats? @HereticOfEthics,0
1602,bombed,,@BrodyFrieling @hanna_brooksie photo bombed,0
1707,bridge%20collapse,,Ashes 2015: AustraliaÛªs collapse at Trent Bridge among worst in history: England bundled out Australia for 60 ... http://t.co/t5TrhjUAU0,0
1726,buildings%20burning,,kou is like [CASH REGISTER] [BUILDINGS BURNING],0
