text_preview,n_copies,targets,contradictory
#Allah describes piling up #wealth thinking it would last #forever as the descri,3,"[0, 1]",True
#Bestnaijamade: 16yr old PKK suicide bomber who detonated bomb in ... http://t.c,6,[1],False
#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsaf,3,"[0, 1]",True
#KCA #VoteJKT48ID 12News: UPDATE: A family of 3 has been displaced after fired d,2,[1],False
#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/cgf61fPm,2,[1],False
#Newswatch: 2 vehicles collided at Lock and Lansdowne Sts in #Ptbo. Emerg crews ,2,[1],False
#SigAlert: North &amp; Southbound 133 closed btwn 5 fwy and Irvine Blvd due to t,2,[1],False
#stormchase Violent Record Breaking EF-5 El Reno Oklahoma Tornado Nearly Runs Ov,2,[1],False
#TweetLikeItsSeptember11th2001 Those two buildings are on fire,2,[1],False
'Suicide bombing at [location named]...' #premonitions http://t.co/iIkSsJGBDn,2,[1],False
(#LosDelSonido) Obama Declares Disaster for Typhoon-Devastated Saipan: Obama sig,2,[1],False
.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally ,4,"[0, 1]",True
11-Year-Old Boy Charged With Manslaughter of Toddler: Report: An 11-year-old boy,10,[1],False
320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #,2,[0],False
320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #,2,[0],False
@_minimehh @cjoyner I must be overlooking the burning buildings? #BlackLivesMatt,2,[1],False
@aria_ahrary @TheTawniest The out of control wild fires in California even in th,2,[1],False
@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was,2,[0],False
@fewmoretweets all lives matter. Just not a fan of burning down buildings and st,2,[1],False
@spinningbot Are you another Stand-user? If you are I will have to detonate you ,3,[0],False
@themagickidraps not upset with a rally upset with burning buildings businesses ,2,[1],False
@TinyJecht Are you another Stand-user? If you are I will have to detonate you wi,3,[0],False
abcnews - Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs dis,2,[1],False
Beware of your temper and a loose tongue! These two dangerous weapons combined c,3,[0],False
Burning buildings? Media outrage? http://t.co/pHixZnv1YN,2,[1],False
Caution: breathing may be hazardous to your health.,2,"[0, 1]",True
Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiX,2,[0],False
CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silve,3,"[0, 1]",True
"Elem Pomo helping the displaced from the Rocky Fire. Please consider!
Elem Evacu",2,[1],False
Evacuation order lifted for town of Roosevelt: http://t.co/EDyfo6E2PU http://t.c,2,[1],False
Experts in France begin examining airplane debris found on Reunion Island: Frenc,2,[1],False
Families to sue over Legionnaires: More than 40 families affected by the fatal o,2,[1],False
General News Û¢åÊ'Demolition of houses on waterways begins at Achimota Mile 7 ',2,[0],False
He came to a land which was engulfed in tribal war and turned it into a land of ,6,"[0, 1]",True
Hellfire is surrounded by desires so be careful and donÛªt let your desires con,3,"[0, 1]",True
Hellfire is surrounded by desires so be careful and donÛªt let your desires con,2,[0],False
Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do,2,"[0, 1]",True
Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do,2,[0],False
http://t.co/c1H7JECFrV @RoyalCarribean do your passengers know about the mass mu,2,[1],False
I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ????,2,"[0, 1]",True
